"Balanus.sp.","Lipophrys.pholis","Lipophrys.trigloides","Gobius.paganellus","Polychaeta","Nucella.sp.","Insecta","Nassariidae","Diplodus.sargus.sargus","Palaemon.longirostris","Palaemon.elegans","PhytoP","Zooplankton","Porifera","Ectoprocta","Gammaridae","Ophiuroidea","Botryllus.schlosseri","Musculus.costulatus","Mytilus.galloprovincialis","Tricolia.pullus","Chthamalus.sp.","Actinothoe.sphyrodeta","Nematoda","Oligochaeta","Petricolinae","Porcellana.platycheles","Tanaidacea","Ulva.lactuca","Pantopoda","Paracentrotus.lividus","Acanthochitona.crinita","Lepidochitona.cinerea","Chiton.olivaceus","Leptochiton.algesirensis","Gibbula.umbilicalis","Rissoidae","Barleeia.sp.","Aplysia.punctata","Onchidella.celtica","Sphaeromatidae","Lophozozymus.incisus","Cladophora.rupestris","Colpomenia.peregrina","Bifurcaria.bifurcata","Cystoseira.sp.","Sphacelaria.cirrosa","Anemonia.sulcata","Asparagopsis.armata","Lithophyllum.sp.","Gelidium.corneum","Felimida.purpureaÃ.","Epitonium.clathrus","Turridae","Diaphorodoris.papillata","Saccorhiza.polyschides","Dictyota.dichotoma","Dictyopteris.polypodioides","Marthasterias.glacialis","Ellisolandia.elongata"
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
