"Balanus.sp.","Lipophrys.pholis","Gobius.paganellus","Polychaeta","Nucella.sp.","Insecta","Nassariidae","Liza.ramada","Palaemon.longirostris","Lepadogaster.lepadogaster","PhytoP","Zooplankton","Gammaridae","Ophiuroidea","Musculus.costulatus","Cardiidae","Angulus.tenuis","Solecurtus.strigilatus","Turtonia.minuta","Copepoda","Nematoda","Oligochaeta","Mytilus.galloprovincialis","Tanaidacea","Eriphia.verrucosa","Ulva.lactuca","Paracentrotus.lividus","Acanthochitona.crinita","Lepidochitona.cinerea","Leptochiton.algesirensis","Gibbula.umbilicalis","Rissoidae","Omalogyra.atomus","Barleeia.sp.","Sphaeromatidae","Ampithoidae","Stenothoidae","Palaemon.elegans","Lophozozymus.incisus","Pirimela.denticulata","Leathesia.marina","Colpomenia.peregrina","Sphacelaria.cirrosa","Asparagopsis.armata","Ellisolandia.elongata","Lithophyllum.sp.","Ceramium.ciliatum","Turridae","Anemonia.sulcata","Lysianassidae"
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
