"Curculionidae_sp_I","Curculionidae_sp_L","Halticinae_I","Cecidomyiidae_sp","Anthocoridae_sp","Hemiptera_sp_juvenile","Tingidae_sp","Tenthredinidae_sp","Lepidoptera_sp","Ditylenchus","Neotylenchus","Rotylenchus","Tylenchus","Thysanoptera_sp","Abacoproeces_saltuum","Hahnia_sp","Linyphiidae_sp_juvenile","Lycosidae_sp_juvenile","Trichoncus_affinis","Xysticus_lanio","Geophilidae_sp","Lithobius_curtipes","Lithobius_sp","Athous_haemorrhoidalis_L","Cantharidae_sp_L","Carabidae_sp_1_I","Coccinellidae_sp_I","Histeridae_sp_I","Lagriidae_sp_L","Trogossitidae_sp_L","Cyclorrhapha_sp","Pseudoscorpionida_sp","Rhaphidiidae_sp","Cryptophagidae_sp_I","Cylindronotus_sp_L","Lathridiidae_sp_I","Pselaphidae_sp_I","Ptiliidae_sp_I","Scydmaenidae_sp_I","Allacma_fusca","Bourletiellidae_juvenile","Ceratophysella_denticulata","Folsomia_volgensis","Isotomiella_minor","Jesenikia_filiformis","Mesaphorura_critica","Mesaphorura_macrochaeta","Mesaphorura_sylvatica","Mesaphorura_undefined","Orchesella_villosa","Parisotoma_notabilis","Protaphorura_armata","Protaphorura_juvenile","Pseudosinella_alba","Sminthurides_armatus","Sminthurinus_juvenile","Sminthurinus_niger","Julidae_sp_juvenile","Diplura_sp","Achaeta","Enchytraeidae_sp","Fridericia","Lumbricidae","Aphelenchoides","Dorylaimus","Eucephalobus","Panagrolaimus","Paraphelenchus","Protura_sp","Symphyla_sp","Branch_mass","Litter_mass","Micelium_bact","Micelium_fung"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
